name|address|city|state|zip_code|day|time|info
 One Step At A Time Group| 211 Schmitt Drive |Waverly|Ohio|00000|Monday|7:00 pm - 8:00 pm|12 Steps & 12 Traditions, Open Meeting, Wheelchair Access
 Searsport Group| 7 Knox Bros Avenue |Searsport|Maine|00000|"Saturday|Sunday"|"6:30 pm - 7:30 pm|7:00 pm - 8:00 pm"|"Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access"
 East Millinocket Group| 11 Maple Street |East Millinocket|Maine|00000|Sunday|7:00 pm - 8:00 pm|Open Meeting, Speaker
 Togus VA Speaker Meeting| 1 VA Center |Augusta|Maine|00000|"Monday|Tuesday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Speaker, Wheelchair Access|Open Meeting, Speaker, Wheelchair Access"
 Serenity Group Augusta| 13 Green Street |Augusta|Maine|00000|Saturday|7:00 pm - 8:00 pm|Discussion, Open Meeting, Wheelchair Access
 Looney Toons Group| 393 Water Street |Augusta|Maine|00000|Saturday|10:00 am - 11:00 am|Discussion Open Meeting, Wheelchair Access
 12th Step Being A Sponsor| 6809 Guadalupe Street|Austin|Texas|00000|Sunday|10:00 am - 11:00 am|Discussion, Open Meeting
 Way of Life Group| 408 North East Street|Atlanta|Texas|00000|"Tuesday|Thursday|Friday|Tuesday|Thursday|Friday|Saturday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Big Book, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|12 Steps & 12 Traditions, Closed Meeting, Non-Smoking"
 Grupo Libertad 10 de Junio| 1920 Rusko Village|Athens|Texas|00000|"Monday|Friday"|"7:00 pm - 9:00 pm|7:00 pm - 9:00 pm"|"Closed Meeting, Discussion, Spanish, Non-Smoking|Closed Meeting, Discussion, Spanish, Non-Smoking"
 Athens Group| 408 West Tyler Street|Athens|Texas|00000|"Monday|Tuesday|Tuesday|Wednesday|Friday"|"6:00 pm - 7:00 pm|6:00 pm - 7:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Discussion, Open Meeting, Wheelchair Access, Non-Smoking|Closed Meeting, Wheelchair Access, Women, Non-Smoking|Closed Meeting, Wheelchair Access, Men, Non-Smoking|As Bill Sees It, Closed Meeting, Wheelchair Access, Non-Smoking|Open Meeting, Speaker, Wheelchair Access, Non-Smoking"
 Contoocook Keep It Simple Group| 24 Maple St |Hopkinton|New Hampshire|00000|Sunday|7:00 pm - 8:00 pm|Wheelchair Access, Speaker, Discussion, Concurrent with Al-Anon
 Triangle Group Online| 401 Southwest Plaza|Arlington|Texas|00000|"Monday|Saturday"|"7:00 pm - 8:00 pm|9:00 am - 10:00 am"|"Big Book, Open Meeting|Big Book, Open Meeting"
 AA Happy Thoughts Group| 1330 Hooksett Road |Hooksett|New Hampshire|00000|Thursday|7:00 pm - 8:00 pm|Discussion, Virtual
 Esperanza De Vivir| 2323 West Lincoln Avenue|Anaheim|California|00000|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish"
 Discussion Anaheim| 202 West Broadway|Anaheim|California|00000|"Wednesday|Wednesday|Thursday|Friday|Sunday"|"12:00 pm - 1:00 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|12:00 pm - 1:00 pm|5:30 pm - 6:30 pm"|"Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting"
 In the Hall Group| 50 Westminster Street  |Walpole|New Hampshire|00000|"Monday|Wednesday|Friday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Discussion|Discussion|Discussion"
 Shining Light Group| 162 Village Road |Newbury|New Hampshire|00000|"Monday|Tuesday|Wednesday|Thursday|Friday"|"8:30 am - 9:30 am|8:30 am - 9:30 am|8:30 am - 9:30 am|8:30 am - 9:30 am|8:30 am - 9:30 am"|"Wheelchair Access, Discussion|Wheelchair Access, Discussion|Wheelchair Access, Discussion|Wheelchair Access, Discussion|Wheelchair Access, Discussion"
 Carry The Message| 727 South Harbor Boulevard|Anaheim|California|00000|Saturday|6:00 am - 7:00 am|Open Meeting
 Chester Big Book Group| 1 Chester Street |Chester|New Hampshire|00000|Wednesday|8:00 pm - 9:30 pm|Big Book
 Bills Babes Womens Book Study| 311 West South Street|Anaheim|California|00000|Thursday|6:30 pm - 7:30 pm|Closed Meeting, Women
 Big Book Study| 202 West Broadway|Anaheim|California|00000|Monday|8:30 pm - 9:30 pm|Wheelchair Access, Open Meeting
 Saturday Night Live| 2759 South King Street |Honolulu|Hawaii|00000|Saturday|8:00 pm - 9:00 pm|Discussion, English, Open Meeting, Speaker, Virtual
 Pali Womens Group| 2747 Pali Highway |Honolulu|Hawaii|00000|Thursday|5:30 pm - 6:30 pm|Discussion, English, Open Meeting, Women, Virtual
 Ohua Group| 310 Paoakalani Avenue |Honolulu|Hawaii|00000|"Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"7:30 pm - 8:30 pm|7:30 pm - 8:30 pm|7:30 pm - 8:30 pm|7:30 pm - 8:30 pm|7:30 pm - 8:30 pm|7:30 pm - 8:30 pm"|"English, LGBTQ, Newcomer, Open Meeting, Virtual|Discussion, English, LGBTQ, Open Meeting, Speaker, Virtual|English, LGBTQ, Open Meeting, Virtual|English, LGBTQ, Open Meeting, Step Meeting, Virtual|Discussion, English, LGBTQ, Literature, Open Meeting, Virtual|Big Book, English, LGBTQ, Open Meeting, Virtual"
 New Beginnings Womens Meeting| 5919 Kalanianaʻole Highway |Honolulu|Hawaii|00000|Tuesday|7:00 pm - 8:00 pm|Big Book, Child-Friendly, English, Newcomer, Women, Virtual
 Malia Discussion| 766 North King Street |Honolulu|Hawaii|00000|Thursday|7:30 pm - 9:00 pm|Discussion, English, Open Meeting, Speaker, Virtual
 Huntsville Group| 309 Church Avenue |Huntsville|Arkansas|00000|"Wednesday|Saturday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Closed Meeting|Open Meeting"
 Squad 26 Group| 1415 6th Avenue|Anoka|Minnesota|00000|Thursday|7:30 pm - 8:30 pm|English
 Squad 23 Anoka| 2700 North Ferry Street|Anoka|Minnesota|00000|Sunday|7:30 pm - 8:30 pm|Open Meeting, Wheelchair Access
 Squad 20 Anoka| 2700 North Ferry Street|Anoka|Minnesota|00000|Saturday|8:00 am - 9:00 am|Men, Closed Meeting, Wheelchair Access
 Saturday Night Fever| 1631 Esmeralda Place |Minden|Nevada|00000|Saturday|7:00 pm - 8:00 pm|Open Meeting, Discussion, Wheelchair Access
 Squad 2 Anoka| 2700 North Ferry Street|Anoka|Minnesota|00000|Tuesday|8:00 pm - 9:00 pm|Child-Friendly, Open Meeting, Wheelchair Access
 Squad 18 Anoka| 2700 North Ferry Street|Anoka|Minnesota|00000|Wednesday|6:30 pm - 7:30 pm|Open Meeting, Wheelchair Access
 Language of the Heart| 850 West 4th Street |Fallon|Nevada|00000|Wednesday|5:15 pm - 6:15 pm|Open Meeting, Discussion, Wheelchair Access
 Speaker and Birthday Meeting| 457 Esmeralda Street |Fallon|Nevada|00000|Saturday|7:00 pm - 8:00 pm|Birthday, Open Meeting, Speaker, Wheelchair Access
 Wendover Group| 915 Wells Avenue |Nevada|89883|00000|"Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|4:00 pm - 5:00 pm|1:00 pm - 2:00 pm|6:00 pm - 7:00 pm"|"Open Meeting|Open Meeting, Discussion|Open Meeting|Open Meeting, Discussion|Open Meeting|Open Meeting"
 Big Book Meeting Sparks| 500 Avenue De La Bleu De Clair |Sparks|Nevada|00000|Monday|7:00 pm - 8:00 pm|Open Meeting, Big Book
 Eureka Group South Main Street| 501 South Main Street |Eureka|Nevada|00000|Sunday|6:00 pm - 7:00 pm|Discussion, Open Meeting, Wheelchair Access
 Out Of The Fog, Out Of The Bog And Into The Light| 405 Murfreesboro Road|Franklin|Tennessee|00000|"Saturday|Sunday"|"6:30 am - 7:30 am|6:30 am - 7:30 am"|"Discussion, Open Meeting|Discussion, Open Meeting"
 Keep It Simple| 525 Sneed Road West|Franklin|Tennessee|00000|"Monday|Wednesday|Saturday"|"7:00 pm - 8:00 pm|8:00 pm - 9:00 pm|10:00 am - 11:00 am"|"Closed Meeting, Literature|Closed Meeting|Open Meeting, Speaker, Discussion"
 Gratitude And Hope Group| 1216 Sneed Road West|Franklin|Tennessee|00000|Monday|7:00 pm - 8:00 pm|Open Meeting, Discussion
 Franklin Group| 120 Aldersgate Way|Franklin|Tennessee|00000|"Monday|Tuesday|Wednesday|Thursday|Friday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm"|"Open Meeting, Discussion, Newcomer|Open Meeting, Discussion|Discussion, Literature, Newcomer, Open Meeting|Closed Meeting, Men, Women|Open Meeting, Discussion, Newcomer"
 Fairview Group| 7107 Westview Drive|Fairview|Tennessee|00000|"Tuesday|Thursday"|"7:30 pm - 8:30 pm|7:30 pm - 8:30 pm"|"Open Meeting, Discussion, Big Book|Open Meeting, Discussion"
 Way Out West| 26252 West Desert Vista Boulevard|Buckeye|Arizona|00000|Monday|7:00 pm - 8:00 pm|Open Meeting, Discussion
 Tuesday Night Mens Stag| 20555 West Roosevelt Street|Buckeye|Arizona|00000|Tuesday|7:00 pm - 8:00 pm|Open Meeting, Discussion, Men
 Surrender To Win Group| 508 Monroe Avenue|Buckeye|Arizona|00000|Sunday|7:00 pm - 8:00 pm|Open Meeting, Discussion
 Bone Dry Group| 4239 North Village Street|Buckeye|85396|00000|Wednesday|7:00 pm - 8:00 pm|Closed Meeting, Discussion, Men
 Black Canyon City AA Group| 19001 Jacie Lane|Black Canyon City|Arizona|00000|"Meeting|5:30 pm - 6:30 pm"|"5:30 pm - 6:30 pm|9:30 am - 10:30 am"|"Open Meeting|Open Meeting, 12 Steps & 12 Traditions"
 Dry Dock Group| 1901 Rolling Street |Ruthven|Iowa|00000|Tuesday|7:30 pm - 8:30 pm|Closed Meeting
 Williams Hall Group| 302 North Cody Road |Le Claire|Iowa|00000|Friday|6:00 pm - 7:00 pm|Discussion, Open Meeting
 DeWitt Meeting| 818 6th Avenue |DeWitt|Iowa|00000|"Monday|Wednesday|Friday|Sunday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|8:00 am - 9:00 am"|"Big Book, Open Meeting|Big Book, Open Meeting|Discussion, Closed Meeting|Big Book, Closed Meeting"
 T G I S Group Alton| 305 8th Street |Alton|Iowa|00000|Saturday|9:00 am - 10:00 am|English
 Women in Recovery 12 and 12 Meeting| 9100 Northeast 219th Street|Battle Ground|Washington|00000|Thursday|12:00 pm - 1:00 pm|12 Steps & 12 Traditions, English, Open Meeting, Wheelchair Access, Women
 Saturday Morning BBSG| 601 East Main Street|Battle Ground|Washington|00000|Saturday|8:00 am - 9:00 am|Big Book, English, Open Meeting, Wheelchair Access
 By the Book BB 12 Step Study| 9100 Northeast 219th Street|Battle Ground|Washington|00000|Tuesday|5:30 pm - 6:30 pm|Big Book, English, Literature, Open Meeting, Step Meeting
 Battle Ground AA Meeting| 11117 Northeast 189th Street|Battle Ground|Washington|00000|"Monday|Wednesday|Thursday|Friday"|"6:00 pm - 7:00 pm|6:00 pm - 7:00 pm|6:00 pm - 7:00 pm|6:00 pm - 7:00 pm"|"English, Open Meeting|English, Open Meeting|English, Open Meeting, Wheelchair Access|English, Open Meeting, Wheelchair Access"
 Mens Spiritual Search Group| 105 Winslow Way West|Bainbridge Island|Washington|00000|Wednesday|7:30 pm - 8:30 pm|Closed Meeting, Wheelchair Access, Men
 12 and 12 Book Study| 311 Depot Street|Antioch|Illinois|00000|Wednesday|6:10 pm - 7:10 pm|Closed Meeting
 St Annes Elementary School Saturdays| 32 North Jones Street|Amboy|Illinois|00000|Saturday|9:30 am - 10:30 am|Closed Meeting
 Emmanuel Lutheran Church Wednesdays| 960 U.S. 52|Amboy|Illinois|00000|Wednesday|7:00 pm - 8:00 pm|Open Meeting
 Emmanuel Lutheran Church Mondays| 960 U.S. 52|Amboy|Illinois|00000|Monday|7:00 pm - 8:00 pm|Open Meeting
 The Market Street Group| 10 East 3rd Street|Alton|Illinois|00000|Sunday|4:00 pm - 5:00 pm|Discussion, Literature, Open Meeting
 Mens Meeting Cheyenne| 1904 East 15th Street|Cheyenne|Wyoming|00000|Wednesday|6:30 pm - 7:30 pm|Discussion, Men, Open Meeting
 Group 1 at 300 Club| 300 Derr Avenue|Cheyenne|Wyoming|00000|"Monday|Tuesday|Wednesday|Thursday|Thursday|Friday|Friday|Saturday|Sunday|Sunday"|"5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|11:00 am - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|10:00 pm - 6:30 pm|5:30 pm - 6:30 pm|10:00 am - 11:00 am|5:30 pm - 6:30 pm"|"|||||||||"
 Thursday Night Royal Meeting| 207 Church Street |Royal |Iowa|00000|Thursday|8:00 pm - 9:00 pm|Closed Meeting
 Fellowship in Recovery| 2310 East 8th Street|Cheyenne|Wyoming|00000|"Monday|Thursday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Discussion, Men, Open Meeting, Wheelchair Access|Discussion, Men, Open Meeting, Wheelchair Access"
 Sun Fun Group| 706 14th Avenue South |North Myrtle Beach|South Carolina|00000|"Tuesday|Wednesday|Thursday|Friday|Friday|Sunday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:10 pm - 1:10 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|2:00 pm - 3:00 pm"|"Open Meeting, Discussion|Discussion, Open Meeting|Closed Meeting, Step Meeting|Discussion, Open Meeting|Open Meeting, Speaker|Big Book, Closed Meeting"
 Eye Openers Group Cheyenne| 108 East 18th Street|Cheyenne|Wyoming|00000|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"7:15 am - 8:15 am|7:15 am - 8:15 am|7:15 am - 8:15 am|7:15 am - 8:15 am|7:15 am - 8:15 am|7:15 am - 8:15 am|7:15 am - 8:15 am"|"Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access"
 Poplar Group| 93 Oak Drive North |Myrtle Beach |South Carolina|00000|Monday|1:00 pm - 2:00 pm|Discussion, Open Meeting
 Eye Openers Group Beginners Meeting| 108 East 18th Street|Cheyenne|Wyoming|00000|Sunday|7:00 pm - 8:00 pm|Open Meeting, Wheelchair Access, Newcomer
 North Myrtle Beach Group| 1100 33rd Avenue South |North Myrtle Beach|South Carolina|00000|"Tuesday|Wednesday"|"7:00 pm - 8:00 pm|12:00 pm - 1:00 pm"|"Big Book, Closed Meeting|Closed Meeting, Literature, Virtual"
 Love And Tolerance| 801 11th Avenue North |North Myrtle Beach|South Carolina|00000|Saturday|8:30 am - 9:30 am|Discussion, Open Meeting
 Choices Group| 1674 Liberty Street|Ashville|Pennsylvania|00000|Wednesday|7:00 pm - 8:00 pm|Discussion
 Oconee Group| 505 Bountyland Road |Westminster|South Carolina|00000|"Tuesday|Thursday|Saturday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Open Meeting, Discussion, Wheelchair Access|Open Meeting, Discussion, Wheelchair Access|Open Meeting, Discussion, Wheelchair Access"
 Happy Joyous and Free Group| 61 Carey St|Ashley|Pennsylvania|00000|Wednesday|6:30 pm - 7:30 pm|Women, Closed Meeting
 Higher Learners Group| 101 College Ave|Annville|Pennsylvania|00000|Tuesday|5:15 pm - 6:15 pm|Discussion, Open Meeting
 Fountain Roc Group| 425 North Dupont Highway |Dover|Delaware|00000|"Tuesday|Thursday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"12 Steps & 12 Traditions, Open Meeting|12 Steps & 12 Traditions, Open Meeting, Big Book"
 New Year Group Bayhealth| 640 South State Street |Dover|Delaware|00000|Sunday|9:30 am - 10:30 am|Temporary Closure
 Turning Point Group| 827 19th Street|Altoona|Pennsylvania|00000|Sunday|8:00 pm - 9:00 pm|Discussion
 Going To Any Lengths| 1818 North Little Creek Road |Dover|Delaware|00000|Thursday|9:00 pm - 10:00 pm|Child-Friendly, Discussion, English, Newcomer, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom, Young People
 Toast Masters Group| 2009 6th Avenue|Altoona|Pennsylvania|00000|Saturday|8:00 pm - 9:00 pm|Discussion
 Fresh Air Dover| 46 South Bradford Street |Dover|Delaware|00000|"Tuesday|Friday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Temporary Closure|Temporary Closure"
 Bridge to Life Group| 756 Main Street |Dover|Delaware|00000|"Wednesday|Friday"|"1:00 pm - 2:00 pm|1:00 pm - 2:00 pm"|"Temporary Closure|Temporary Closure"
 Amagansett Saturday Night| 350 Main Street|Amagansett|New York|00000|Saturday|6:30 pm - 7:30 pm|Closed Meeting, Discussion
 Saturdays in the Park| 514 Park Avenue |Portsmouth|Rhode Island|00000|Saturday|10:00 am - 11:00 am|Discussion, Open Meeting
 Amagansett Group| 350 Main Street|Amagansett|New York|00000|Saturday|6:30 pm - 7:30 pm|Closed Meeting
 The Altamont Group| 122 Grand Street|Altamont|New York|00000|Sunday|8:00 pm - 9:00 pm|Closed Meeting, Discussion, Speaker
 Portsmouth Nooners| 1000 West Main Road |Portsmouth|Rhode Island|00000|"Monday|Tuesday|Wednesday|Thursday|Friday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm"|"Big Book, English, Open Meeting|Discussion, English, Open Meeting|English, Open Meeting, Step Meeting|Discussion, English, Open Meeting|English, Literature, Open Meeting"
 Lifeline Group| 36 North 4th Street|Allegany|New York|00000|"Wednesday|Friday"|"9:30 pm - 10:30 pm|11:00 pm - 12:00 am"|"Open Meeting, Discussion|Open Meeting, Discussion"
 Care Group| 933 Anthony Road |Portsmouth|Rhode Island|00000|Thursday|7:30 pm - 8:45 pm|Discussion, English, Open Meeting
 Beginning Life Group| 1665 Broad Street |Cranston|Rhode Island|00000|Thursday|7:30 pm - 8:30 pm|English, Open Meeting, Step Meeting
 Inner Faith Group| 95 East Main Street|Allegany|New York|00000|Tuesday|8:00 pm - 9:00 pm|Open Meeting
 Active Meeting| 915 Newport Avenue |Pawtucket|Rhode Island|00000|Friday|7:30 pm - 8:30 pm|English, Open Meeting
 Band of Brothers| 153 North Meridian Road |Kalispell|Montana|00000|Wednesday|6:30 pm - 7:30 pm|Closed Meeting, Speaker, Discussion
 Now Group Big Timber| 115 West 4th Avenue |Big Timber|Montana|00000|"Monday|Tuesday|Friday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Open Meeting|Open Meeting|Open Meeting"
 Welcome Home Group| 102 East Main Street |Sidney|Montana|00000|"Tuesday|Friday|Saturday|Sunday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Closed Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Discussion|Closed Meeting, Discussion"
 Monday Noon Group| 416 2nd Street Northwest |Sidney|Montana|00000|Monday|12:00 pm - 1:00 pm|Closed Meeting, Step Meeting, Big Book
 Joliet Group| 209 East Front Avenue |Joliet|Montana|00000|Monday|7:00 pm - 8:00 pm|Open Meeting, Discussion
 Dutton Group| 15 Main Street |Dutton|Montana|00000|Wednesdsay|7:30 pm - 8:30 pm|Open Meeting, Discussion
 Big Sky Group| 334 Town Center Avenue |Big Sky|Montana|00000|Wednesday|12:00 pm - 1:00 pm|Open Meeting
 Early Risers Group| 510 Little Coyote Road |Big Sky|Montana|00000|Saturday|7:30 am - 8:30 am|Open Meeting
 Edgewood Group Beginner Meeting| 819 Somerset Drive|Charleston|West Virginia|00000|Monday|7:00 pm - 8:00 pm|Newcomer, Open Meeting, Wheelchair Access
 Edgewood Group| 819 Somerset Drive|Charleston|West Virginia|00000|"Thursday|Friday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Big Book, Closed Meeting, Wheelchair Access|Closed Meeting, Discussion, Wheelchair Access"
 Edgewood Big Book Study Group| 821 Edgewood Drive|Charleston|West Virginia|00000|"Monday|Thursday|Friday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Discussion, Wheelchair Access|Closed Meeting, Big Book, Wheelchair Access|Closed Meeting, Discussion, Wheelchair Access"
 Ebbys Promise| 520 Kanawha Boulevard West|Charleston|West Virginia|00000|Tuesday|8:00 pm - 9:00 pm|Open Meeting, Discussion, Big Book, Speaker
 Friends of Sobriety| 4020 Peggy Road Southeast |Rio Ranches|New Mexico|00000|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday"|"4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm"|"Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting, Step Meeting|Discussion, Open Meeting, Hybrid|Discussion, Open Meeting, Big Book|Discussion, Open Meeting, Hybrid"
 East Enders Group| 1600 Kanawha Boulevard East|Charleston|West Virginia|00000|"Monday|Wednesday|Saturday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Discussion|Closed Meeting, Discussion, Wheelchair Access|Open Meeting, Speaker, Wheelchair Access"
 Cimarron Group| 759 East 8th Street |Cimarron|New Mexico|00000|Wednesday|6:00 pm - 7:00 pm|Big Book, Open Meeting
 St E s Sobriety Society| 503 North Main Street |South Hutchinson|Kansas|00000|"Monday|Monday|Monday|Tuesday|Tuesday|Wednesday|Wednesday|Thursday|Thursday|Friday|Friday|Saturday|Saturday|Saturday|Sunday|Sunday"|"12:00 pm - 1:00 pm|6:00 pm - 7:00 pm|7:00 pm - 8:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|8:00 am - 9:00 am|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|11:00 am - 12:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Non-Smoking|Open Meeting, Non-Smoking, Women|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking|Open Meeting, Non-Smoking"
 Minneapolis Group| 101 South Sheridan Street |Minneapolis|Kansas|00000|"Tuesday|Thursday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Open Meeting|Open Meeting"
 Baxter Springs Group Military Avenue| 1321 Military Avenue |Baxter Springs|Kansas|00000|Sunday|8:00 pm - 9:00 pm|Closed Meeting
 Solomon AA Group| 3599 North Field Road |Kansas|67480|00000|Sunday|8:00 pm - 9:00 pm|Open Meeting
 Mens Recovery AA Group| 405 North 2nd Street|Coeur d'Alene|Idaho|00000|Thursday|7:00 pm - 8:00 pm|Closed Meeting, Men
